route_name,direction_group,route_variant_id,count,n_stops,route_sequence_str,is_reference,n_missing,n_added,missing_stop_codes,missing_stop_names,added_stop_codes,in_display_set,cluster_id,variant_type,variant_type_confirmed
22,direction_A,8,1,54,3324-6268-9907-9908-3097-2181-9981-1629-5895-1014-2590-1655-2753-4044-1630-2591-4050-1039-1054-1575-1484-1079-3857-3605-4173-3818-3858-4037-1171-903-1352-1731-1927-3637-2804-2802-2882-2806-5854-2569-2573-2620-2624-2707-2708-2710-2825-6215-2826-3849-2855-2856-6214-1487,False,1,0,['3678'],['ארץ חפץ/חטיבת הראל'],[],False,,regular,False
22,direction_A,9,1,54,3324-6268-9907-9908-3097-2181-9981-1629-5895-1014-2590-1655-2753-4044-1630-2591-4050-1039-1054-1575-1484-1079-3857-3605-4173-3818-3858-4037-903-3678-1352-1731-1927-3637-2804-2802-2882-2806-5854-2569-2573-2620-2624-2707-2708-2710-2825-6215-2826-3849-2855-2856-6214-1487,False,1,0,['1171'],['יחזקאל/רבנו גרשום'],[],False,,regular,False
22,direction_A,10,1,49,3324-6268-9907-9908-3097-2181-9981-1629-5895-1014-2590-1655-2753-4044-1630-2591-4050-1039-1054-4173-3858-4037-1171-903-3678-1352-1731-1927-3637-2804-2802-2882-2806-5854-2569-2573-2620-2624-2707-2708-2710-2825-6215-2826-3849-2855-2856-6214-1487,False,6,0,"['1575', '1484', '1079', '3857', '3605', '3818']","['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""המלך ג'ורג'/קק''ל"", ""המלך ג'ורג'/בן יהודה"", 'שטראוס/פראג']",[],True,22_direction_A_cluster_1,blocked,False
22,direction_A,11,1,53,3324-6268-9907-9908-3097-2181-9981-1629-5895-1014-2590-1655-2753-4044-1630-2591-4050-1039-1054-1575-1484-1079-3857-3605-4173-3818-3858-903-3678-1352-1731-1927-3637-2804-2802-2882-2806-5854-2569-2573-2620-2624-2707-2708-2710-2825-6215-2826-3849-2855-2856-6214-1487,False,2,0,"['4037', '1171']","['יחזקאל/הושע', 'יחזקאל/רבנו גרשום']",[],False,,regular,False
22,direction_A,12,1,54,3324-6268-9907-9908-3097-2181-9981-1629-5895-1014-2590-1655-2753-4044-1630-2591-4050-1039-1054-1575-1079-3857-3605-4173-3818-3858-4037-1171-903-3678-1352-1731-1927-3637-2804-2802-2882-2806-5854-2569-2573-2620-2624-2707-2708-2710-2825-6215-2826-3849-2855-2856-6214-1487,False,1,0,['1484'],"[""עזה/רד''ק""]",[],True,,regular,False
22,direction_A,13,1,52,3324-6268-9907-9908-3097-2181-9981-1629-5895-1014-2590-1655-2753-4044-1630-2591-4050-1039-1054-1575-1484-1079-3857-3605-4173-3818-3858-4037-1171-903-3678-1352-1731-1927-3637-2804-2802-2882-2806-5854-2569-2573-2620-2624-2707-2710-2825-2826-2855-2856-6214-1487,False,3,0,"['2708', '6215', '3849']","['חיל האויר/הסיירת הירושלמית', 'פארק ארכיאולוגי/חיל האויר', ""תחנת רקל''ה חיל האויר/משה דיין""]",[],False,,regular,False
22,direction_A,14,1,54,3324-6268-9907-9908-3097-2181-9981-1629-5895-1014-2590-1655-2753-4044-1630-2591-4050-1039-1054-1575-1484-1079-3605-4173-3818-3858-4037-1171-903-3678-1352-1731-1927-3637-2804-2802-2882-2806-5854-2569-2573-2620-2624-2707-2708-2710-2825-6215-2826-3849-2855-2856-6214-1487,False,1,0,['3857'],"[""המלך ג'ורג'/קק''ל""]",[],True,,regular,False
22,direction_B,0,933,52,61-3009-2853-3010-2854-3012-3232-2823-3238-2706-3661-2623-5991-2621-2572-3847-3014-2809-2798-2803-1799-1783-1784-1375-1347-1344-1150-3008-3607-3352-4174-3855-4175-1418-1077-1073-2260-2261-1053-1676-2589-6028-1905-1016-1012-4249-2180-1638-1639-1651-570-3294,True,0,0,[],[],[],True,,regular,True
22,direction_B,1,157,52,61-3009-2853-3010-2854-3012-3232-2823-3238-2706-3661-2623-5991-2621-2572-3847-3014-2809-2798-2803-1799-1783-1784-1375-1347-1344-1150-3008-3607-3352-4174-3855-4175-1418-1077-1073-2260-2261-1053-1676-2589-6286-1905-1016-1012-4249-2180-1638-1639-1651-570-3294,False,1,1,['6028'],['Unknown(6028)'],['6286'],True,,regular,False
22,direction_B,2,29,51,61-3009-2853-3010-2854-3012-3232-2823-3238-2706-3661-2623-5991-2621-2572-3847-3014-2809-2798-2803-1799-1783-1784-1375-1347-1344-1150-3008-3607-3352-4174-3855-1418-1077-1073-2260-2261-1053-1676-2589-6028-1905-1016-1012-4249-2180-1638-1639-1651-570-3294,False,1,0,['4175'],['Unknown(4175)'],[],True,,regular,False
22,direction_B,3,5,49,61-3009-2853-3010-2854-3012-3232-2823-3238-2706-3661-2623-5991-2621-2572-3847-3014-2809-2798-2803-1799-1783-1784-1375-1347-1344-3352-4174-3855-4175-1418-1077-1073-2260-2261-1053-1676-2589-6028-1905-1016-1012-4249-2180-1638-1639-1651-570-3294,False,3,0,"['1150', '3008', '3607']","['Unknown(1150)', 'Unknown(3008)', 'Unknown(3607)']",[],True,,regular,False
22,direction_B,4,3,51,61-3009-2853-3010-2854-3012-3232-2823-3238-2706-3661-2623-5991-2621-2572-3847-3014-2809-2798-2803-1799-1783-1784-1375-1347-1344-1150-3008-3607-3352-4174-3855-1418-1077-1073-2260-2261-1053-1676-2589-6286-1905-1016-1012-4249-2180-1638-1639-1651-570-3294,False,2,1,"['4175', '6028']","['Unknown(4175)', 'Unknown(6028)']",['6286'],False,,regular,False
22,direction_B,5,2,50,61-3009-2853-3010-2854-3012-3232-2823-3238-2706-3661-2623-5991-2621-2572-3847-3014-2809-2798-2803-1799-1783-1784-1375-1347-1344-1150-3008-3607-3352-4174-3855-1418-1077-2260-2261-1053-1676-2589-6028-1905-1016-1012-4249-2180-1638-1639-1651-570-3294,False,2,0,"['4175', '1073']","['Unknown(4175)', 'Unknown(1073)']",[],False,,regular,False
22,direction_B,6,1,50,61-3009-2853-3010-2854-3012-3232-2823-3238-2706-3661-2623-5991-2621-2572-3847-3014-2809-2798-2803-1799-1783-1784-1375-1347-1344-1150-3008-3607-3352-4174-3855-1077-1073-2260-2261-1053-1676-2589-6028-1905-1016-1012-4249-2180-1638-1639-1651-570-3294,False,2,0,"['4175', '1418']","['Unknown(4175)', 'Unknown(1418)']",[],False,,regular,False
22,direction_B,7,1,41,61-3009-2853-3010-2854-3012-3232-2823-3238-2706-3661-2623-5991-2621-2572-3847-3014-2809-2798-2803-1799-3352-1418-1077-1073-2260-2261-1053-1676-2589-6028-1905-1016-1012-4249-2180-1638-1639-1651-570-3294,False,11,0,"['1783', '1784', '1375', '1347', '1344', '1150', '3008', '3607', '4174', '3855', '4175']","['Unknown(1783)', 'Unknown(1784)', 'Unknown(1375)', 'Unknown(1347)', 'Unknown(1344)', 'Unknown(1150)', 'Unknown(3008)', 'Unknown(3607)', 'Unknown(4174)', 'Unknown(3855)', 'Unknown(4175)']",[],False,22_direction_B_cluster_1,blocked,False
19,direction_A,0,1163,42,2314-2323-5592-972-938-2754-1511-942-2040-4256-2391-1586-1525-1526-949-1054-1575-1484-1079-1080-1544-1546-1555-2024-3605-4173-3379-2246-3230-2899-5951-2813-2424-427-9999-1435-1444-1445-1371-1368-1367-1370,True,0,0,[],[],[],True,,regular,True
19,direction_A,1,84,36,2314-2323-5592-972-938-2754-1511-942-2040-4256-2391-1586-1525-1526-949-1054-1555-2024-3605-4173-3379-2246-3230-2899-5951-2813-2424-427-9999-1435-1444-1445-1371-1368-1367-1370,False,6,0,"['1575', '1484', '1079', '1080', '1544', '1546']","['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",[],True,19_direction_A_cluster_1,blocked,False
19,direction_A,2,37,40,9975-972-938-2754-1511-942-2040-4256-2391-1586-1525-1526-949-1054-1575-1484-1079-1080-1544-1546-1555-2024-3605-4173-3379-2246-3230-2899-5951-2813-2424-427-9999-1435-1444-1445-1371-1368-1367-1370,False,3,1,"['2314', '2323', '5592']","['כניסה ראשית/הדסה עין כרם', 'מרכז הסטודנט/הדסה עין כרם', 'צומת אורה']",['9975'],True,,regular,False
19,direction_A,3,7,39,2314-2323-5592-972-938-2754-1511-942-2040-4256-2391-1586-1525-1526-949-1054-1575-1484-1079-1555-2024-3605-4173-3379-2246-3230-2899-5951-2813-2424-427-9999-1435-1444-1445-1371-1368-1367-1370,False,3,0,"['1080', '1544', '1546']","[""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",[],True,,regular,False
19,direction_A,4,5,39,2314-2323-5592-972-938-2754-1511-942-2040-4256-2391-1586-1525-1526-949-1054-1575-1484-1079-1080-1544-1546-1555-2024-3605-4173-3379-2246-3230-2899-5951-2813-2424-427-9999-1435-1444-1445-1371,False,3,0,"['1368', '1367', '1370']","['מחנה עופרית/מרטין בובר', 'אקדמיה בצלאל/מרטין בובר', 'מסוף הר הצופים/מרטין בובר']",[],True,,regular,False
19,direction_A,5,4,41,2314-2323-5592-972-938-2754-1511-942-2040-4256-2391-1586-1525-1526-949-1054-1575-1484-1079-1080-1544-1546-1555-2024-3605-4173-3379-2246-3230-2899-5951-2813-2424-427-9999-1435-1444-1445-1371-1368-1367,False,1,0,['1370'],['מסוף הר הצופים/מרטין בובר'],[],False,,regular,False
19,direction_A,6,2,40,2314-2323-5592-972-938-2754-1511-942-2040-4256-2391-1586-1525-1526-949-1054-1575-1484-1079-1080-1555-2024-3605-4173-3379-2246-3230-2899-5951-2813-2424-427-9999-1435-1444-1445-1371-1368-1367-1370,False,2,0,"['1544', '1546']","[""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",[],True,,regular,False
19,direction_A,7,2,41,2314-2323-5592-972-938-2754-1511-942-2040-4256-2391-1586-1525-1526-949-1054-1575-1484-1079-1080-1544-1555-2024-3605-4173-3379-2246-3230-2899-5951-2813-2424-427-9999-1435-1444-1445-1371-1368-1367-1370,False,1,0,['1546'],['אוסישקין/נרקיס'],[],True,,regular,False
19,direction_A,8,1,41,2314-2323-5592-972-938-2754-1511-942-2040-4256-2391-1586-1525-1526-949-1054-1484-1079-1080-1544-1546-1555-2024-3605-4173-3379-2246-3230-2899-5951-2813-2424-427-9999-1435-1444-1445-1371-1368-1367-1370,False,1,0,['1575'],['עזה/הרב ברלין'],[],True,,regular,False
19,direction_A,9,1,39,2314-2323-5592-972-938-2754-1511-942-2040-4256-2391-1586-1525-1526-949-1054-1080-1544-1546-1555-2024-3605-4173-3379-2246-3230-2899-5951-2813-2424-427-9999-1435-1444-1445-1371-1368-1367-1370,False,3,0,"['1575', '1484', '1079']","['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור']",[],True,,regular,False
19,direction_A,10,1,38,2314-2323-5592-972-938-2754-1511-942-2040-4256-2391-1586-1525-1526-949-1054-1575-1484-1555-2024-3605-4173-3379-2246-3230-2899-5951-2813-2424-427-9999-1435-1444-1445-1371-1368-1367-1370,False,4,0,"['1079', '1080', '1544', '1546']","['עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",[],True,,regular,False
19,direction_A,11,1,34,9975-972-938-2754-1511-942-2040-4256-2391-1586-1525-1526-949-1054-1555-2024-3605-4173-3379-2246-3230-2899-5951-2813-2424-427-9999-1435-1444-1445-1371-1368-1367-1370,False,9,1,"['2314', '2323', '5592', '1575', '1484', '1079', '1080', '1544', '1546']","['כניסה ראשית/הדסה עין כרם', 'מרכז הסטודנט/הדסה עין כרם', 'צומת אורה', 'עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",['9975'],True,19_direction_A_cluster_1,blocked,False
19,direction_A,12,1,41,2314-2323-5592-972-938-2754-1511-942-2040-4256-2391-1586-1525-1526-949-1054-1575-1079-1080-1544-1546-1555-2024-3605-4173-3379-2246-3230-2899-5951-2813-2424-427-9999-1435-1444-1445-1371-1368-1367-1370,False,1,0,['1484'],"[""עזה/רד''ק""]",[],True,,regular,False
19,direction_A,13,1,40,2314-2323-5592-972-938-2754-1511-942-2040-4256-2391-1586-1525-1526-949-1054-1575-1080-1544-1546-1555-2024-3605-4173-3379-2246-3230-2899-5951-2813-2424-427-9999-1435-1444-1445-1371-1368-1367-1370,False,2,0,"['1484', '1079']","[""עזה/רד''ק"", 'עזה/בלפור']",[],True,,regular,False
19,direction_A,14,1,37,2314-2323-5592-972-938-2754-1511-942-2040-4256-2391-1586-1525-1526-949-1054-1575-1484-1079-1080-1544-1546-1555-2024-3605-4173-3379-2246-3230-2899-5951-2813-2424-427-1445-1371-1370,False,5,0,"['9999', '1435', '1444', '1368', '1367']","[""אהרון קציר/שדרות צ'רצ'יל"", ""שד' צ'רצ'יל/קציר"", ""הדסה הר הצופים/שד' צ'רצ'יל"", 'מחנה עופרית/מרטין בובר', 'אקדמיה בצלאל/מרטין בובר']",[],False,19_direction_A_cluster_2,blocked,False
19,direction_A,15,1,38,2314-2323-5592-972-938-2754-1511-942-2040-4256-2391-1586-1525-1526-949-1054-1575-1484-1079-1080-1544-1546-1555-2024-3605-4173-3379-2246-3230-2899-5951-2813-2424-427-1371-1368-1367-1370,False,4,0,"['9999', '1435', '1444', '1445']","[""אהרון קציר/שדרות צ'רצ'יל"", ""שד' צ'רצ'יל/קציר"", ""הדסה הר הצופים/שד' צ'רצ'יל"", ""האוניברסיטה העברית/שד' צ'רצ'יל""]",[],False,,regular,False
19,direction_A,16,1,38,2314-2323-5592-972-938-2754-1511-942-2040-4256-2391-1586-1525-1526-949-1054-1575-1079-1555-2024-3605-4173-3379-2246-3230-2899-5951-2813-2424-427-9999-1435-1444-1445-1371-1368-1367-1370,False,4,0,"['1484', '1080', '1544', '1546']","[""עזה/רד''ק"", ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",[],True,,regular,False
19,direction_A,17,1,35,2314-2323-5592-972-938-2754-1511-942-2040-4256-2391-1586-1525-1526-949-1054-1555-2024-3605-4173-3379-2246-3230-2899-5951-2813-2424-427-9999-1435-1444-1445-1371-1367-1370,False,7,0,"['1575', '1484', '1079', '1080', '1544', '1546', '1368']","['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס', 'מחנה עופרית/מרטין בובר']",[],True,19_direction_A_cluster_1,blocked,False
19,direction_B,0,1194,37,1366-1365-1369-1431-1434-394-1854-9808-2815-2816-1956-2364-2836-9863-3541-1570-1574-1554-1545-1081-1077-1073-1523-978-1512-1539-2392-2069-932-933-3851-5593-931-5591-2325-2985-2326,True,0,0,[],[],[],True,,regular,True
19,direction_B,1,62,34,1366-1365-1369-1431-1434-394-1854-9808-2815-2816-1956-2364-2836-9863-3541-1570-1574-1554-1545-1523-978-1512-1539-2392-2069-932-933-3851-5593-931-5591-2325-2985-2326,False,3,0,"['1081', '1077', '1073']","['Unknown(1081)', 'Unknown(1077)', 'Unknown(1073)']",[],True,,regular,False
19,direction_B,2,52,32,1366-1365-1369-1431-1434-394-1854-9808-2815-2816-1956-2364-2836-9863-3541-1570-1574-1523-978-1512-1539-2392-2069-932-933-3851-5593-931-5591-2325-2985-2326,False,5,0,"['1554', '1545', '1081', '1077', '1073']","['Unknown(1554)', 'Unknown(1545)', 'Unknown(1081)', 'Unknown(1077)', 'Unknown(1073)']",[],True,19_direction_B_cluster_1,blocked,False
19,direction_B,3,17,36,1366-1365-1369-1431-1434-394-1854-9808-2815-2816-1956-2364-2836-9863-3541-1570-1574-1554-1545-1081-1077-1523-978-1512-1539-2392-2069-932-933-3851-5593-931-5591-2325-2985-2326,False,1,0,['1073'],['Unknown(1073)'],[],True,,regular,False
19,direction_B,4,12,29,2721-2528-2339-2345-2360-2150-2152-2163-2547-2548-2160-2168-201-9801-2714-2715-2181-1539-2392-2069-932-933-3851-5593-931-5591-2325-2985-2326,False,25,17,"['1366', '1365', '1369', '1431', '1434', '394', '1854', '9808', '2815', '2816', '1956', '2364', '2836', '9863', '3541', '1570', '1574', '1554', '1545', '1081', '1077', '1073', '1523', '978', '1512']","['Unknown(1366)', 'Unknown(1365)', 'Unknown(1369)', 'Unknown(1431)', 'Unknown(1434)', 'Unknown(394)', 'Unknown(1854)', 'Unknown(9808)', 'Unknown(2815)', 'Unknown(2816)', 'Unknown(1956)', 'Unknown(2364)', 'Unknown(2836)', 'Unknown(9863)', 'Unknown(3541)', 'Unknown(1570)', 'Unknown(1574)', 'Unknown(1554)', 'Unknown(1545)', 'Unknown(1081)', 'Unknown(1077)', 'Unknown(1073)', 'Unknown(1523)', 'Unknown(978)', 'Unknown(1512)']","['2721', '2528', '2339', '2345', '2360', '2150', '2152', '2163', '2547', '2548', '2160', '2168', '201', '9801', '2714', '2715', '2181']",True,19_direction_B_cluster_1,ambiguous,False
19,direction_B,5,12,12,1539-2392-2069-932-933-3851-5593-931-5591-2325-2985-2326,False,25,0,"['1366', '1365', '1369', '1431', '1434', '394', '1854', '9808', '2815', '2816', '1956', '2364', '2836', '9863', '3541', '1570', '1574', '1554', '1545', '1081', '1077', '1073', '1523', '978', '1512']","['Unknown(1366)', 'Unknown(1365)', 'Unknown(1369)', 'Unknown(1431)', 'Unknown(1434)', 'Unknown(394)', 'Unknown(1854)', 'Unknown(9808)', 'Unknown(2815)', 'Unknown(2816)', 'Unknown(1956)', 'Unknown(2364)', 'Unknown(2836)', 'Unknown(9863)', 'Unknown(3541)', 'Unknown(1570)', 'Unknown(1574)', 'Unknown(1554)', 'Unknown(1545)', 'Unknown(1081)', 'Unknown(1077)', 'Unknown(1073)', 'Unknown(1523)', 'Unknown(978)', 'Unknown(1512)']",[],False,19_direction_B_cluster_1,ambiguous,False
19,direction_B,6,2,35,1366-1365-1369-1431-1434-394-1854-9808-2815-2816-1956-2364-2836-9863-3541-1570-1574-1554-1545-1077-1523-978-1512-1539-2392-2069-932-933-3851-5593-931-5591-2325-2985-2326,False,2,0,"['1081', '1073']","['Unknown(1081)', 'Unknown(1073)']",[],False,,regular,False
19,direction_B,7,2,36,1366-1365-1369-1431-1434-394-1854-9808-2815-2816-1956-2364-2836-9863-3541-1570-1574-1554-1545-1077-1073-1523-978-1512-1539-2392-2069-932-933-3851-5593-931-5591-2325-2985-2326,False,1,0,['1081'],['Unknown(1081)'],[],False,,regular,False
19,direction_B,8,2,31,1366-1369-1431-1434-394-1854-9808-2815-2816-1956-2364-2836-9863-3541-1570-1574-1523-978-1512-1539-2392-2069-932-933-3851-5593-931-5591-2325-2985-2326,False,6,0,"['1365', '1554', '1545', '1081', '1077', '1073']","['Unknown(1365)', 'Unknown(1554)', 'Unknown(1545)', 'Unknown(1081)', 'Unknown(1077)', 'Unknown(1073)']",[],False,19_direction_B_cluster_1,blocked,False
19,direction_B,9,1,35,1366-1365-1369-1431-1434-394-1854-9808-2815-2816-1956-2364-2836-9863-3541-1570-1574-1554-1545-1073-1523-978-1512-1539-2392-2069-932-933-3851-5593-931-5591-2325-2985-2326,False,2,0,"['1081', '1077']","['Unknown(1081)', 'Unknown(1077)']",[],False,,regular,False
19,direction_B,10,1,33,1366-1365-1369-1431-1434-394-1854-9808-2815-2816-1956-2364-2836-9863-3541-1570-1574-1545-1523-978-1512-1539-2392-2069-932-933-3851-5593-931-5591-2325-2985-2326,False,4,0,"['1554', '1081', '1077', '1073']","['Unknown(1554)', 'Unknown(1081)', 'Unknown(1077)', 'Unknown(1073)']",[],False,19_direction_B_cluster_1,blocked,False
19,direction_B,11,1,36,1366-1369-1431-1434-394-1854-9808-2815-2816-1956-2364-2836-9863-3541-1570-1574-1554-1545-1081-1077-1073-1523-978-1512-1539-2392-2069-932-933-3851-5593-931-5591-2325-2985-2326,False,1,0,['1365'],['Unknown(1365)'],[],False,,regular,False
17,direction_A,0,288,47,6004-6081-9995-6124-3027-3004-9975-3561-9882-3245-5891-3668-5923-3246-3249-3250-2922-1586-1525-1526-949-1054-1575-1484-1079-1080-1544-1546-1555-2024-3605-4173-3379-2246-255-257-264-2410-427-9999-1435-1444-1445-1371-1368-1367-1370,True,0,0,[],[],[],True,,regular,True
17,direction_A,1,199,48,6004-6081-9995-6124-3027-3004-9975-3561-9882-3245-5891-3668-5923-3246-3249-3250-2922-1586-1525-1698-1526-949-1054-1575-1484-1079-1080-1544-1546-1555-2024-3605-4173-3379-2246-255-257-264-2410-427-9999-1435-1444-1445-1371-1368-1367-1370,False,0,1,[],[],['1698'],True,,regular,False
17,direction_A,2,27,41,6004-6081-9995-6124-3027-3004-9975-3561-9882-3245-5891-3668-5923-3246-3249-3250-2922-1586-1525-1526-949-1054-1555-2024-3605-4173-3379-2246-255-257-264-2410-427-9999-1435-1444-1445-1371-1368-1367-1370,False,6,0,"['1575', '1484', '1079', '1080', '1544', '1546']","['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",[],True,17_direction_A_cluster_1,blocked,False
17,direction_A,3,14,42,6004-6081-9995-6124-3027-3004-9975-3561-9882-3245-5891-3668-5923-3246-3249-3250-2922-1586-1525-1698-1526-949-1054-1555-2024-3605-4173-3379-2246-255-257-264-2410-427-9999-1435-1444-1445-1371-1368-1367-1370,False,6,1,"['1575', '1484', '1079', '1080', '1544', '1546']","['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",['1698'],True,17_direction_A_cluster_1,blocked,False
17,direction_A,4,4,44,6004-6081-9995-6124-3027-3004-9975-3561-9882-3245-5891-3668-5923-3246-3249-3250-2922-1586-1525-1698-1526-949-1054-1575-1484-1079-1080-1544-1546-1555-2024-3605-4173-3379-2246-427-9999-1435-1444-1445-1371-1368-1367-1370,False,4,1,"['255', '257', '264', '2410']","['משרד המשפטים/צלאח א דין', 'דרך שכם/לואי ונסן', 'דרך שכם/טובלר', 'דרך הר הזיתים/נשאשיבי']",['1698'],False,,regular,False
17,direction_A,5,3,44,6004-6081-9995-6124-3027-3004-9975-3561-9882-3245-5891-3668-5923-3246-3249-3250-2922-1586-1525-1526-949-1054-1575-1484-1079-1080-1544-1546-1555-2024-3605-4173-3379-2246-255-257-264-2410-427-9999-1435-1444-1445-1371,False,3,0,"['1368', '1367', '1370']","['מחנה עופרית/מרטין בובר', 'אקדמיה בצלאל/מרטין בובר', 'מסוף הר הצופים/מרטין בובר']",[],False,,regular,False
